Name,Country,City,Screening Date - Year,Screening Date - Month,Screening Date - Day,Local Release Title,Original Release Title,US Release Title or English Translation,Director,Year of Production,Country of Production,Duration,Series Theme,Nature of Screening,Provenance of Print,Other Notes
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Un viaje a Jupiter,Un voyage a Jupiter,,Segundo de Chomón,1909,France,short,,,Fernando Pereda,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,La caída de la Maison Usher,La chute de la Maison Usher,,Jean Epstein,1928,France,feature,,,Cine Club del Uruguay collection,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,La aventurera,L'Avventurera del piano di sopra,,Rafaello Matarazzo,1941,Italy,feature,,,CUFE,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Canto de Ceylon,Song of Ceylon,,Basil Wright,1934,United Kingdom,feature,,,Cine Club del Uruguay collection,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Le Comte Kostia,,Jacques Robert,1925,France,feature,,,Fernando Pereda,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Der Student von Prag,,Henrik Galeen,1926,Germany,feature,,,Fernando Pereda,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,El judío errante,The Wandering Jew,,Maurice Elve,1934,United Kingdom,feature,,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,El desconocido,The Passing of the Third Floor Back,,Berthold Viertel,1935,United Kingdom,feature,,,SODRE,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Solo vivimos una vez,You Only Live Once,,Fritz Lang,1937,United States,feature,Tendencias del realismo social norteamericano,,CUFE,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Decepción,All the King's Men,,Robert Rossen,1949,United States,feature,,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Sendas torcidas,They Live By Night,,Nicholas Ray,1947,United States,feature,,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Pett and Pott,,Alberto Cavalcanti,1933,United Kingdom,short,La historia del documental británico,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Trade Tattoo,,Len Lye,1936,United Kingdom,short,La historia del documental británico,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Fiebre de sangre,The Gunfighter,,Henry King,1950,United States,feature,Tendencias del realismo norteamericano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Cielo amarillo,Yellow Sky,,William Wellman,1948,United States,feature,Tendencias del realismo norteamericano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,48 Horas de Terror,48 Hours,,Alberto Cavalcanti,1943,United Kingdom,feature,Renacimiento del cine británico,,CUFE,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Qué sinvergüenza son los hombres!,"Gli uomini, che mascalzoni",,Mario Camerini,1932,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,No soy supersticioso,"Non sono superstizioso, ma…",,Carlo Ludovico Bragaglia,1943,Italy,feature,Evolución del cine sonoro italiano,Fox Film,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,La tavola dei poveri,,Alessandro Blasetti,1932,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Ettore Fieramosca,,Alessandro Blasetti,1938,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Faros en la niebla,Fari nella nebbia,,Gianni Franciolini,1942,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Acero,Acciaio,,Walter Ruttmann,1933,Italy,feature,Evolución del cine sonoro italiano,repeat,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Piazza San Marco,,Francesco Pasinetti,1947,Italy,short,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Obsesión,Osessione,,Luchino Visconti,1943,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Il Capello a tre Punte,,Mario Camerini,1934,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Los niños nos miran,I Bambini ci guardano,,Vittorio de Sica,1943,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Ladri di biciclette,,Vittorio de Sica,1948,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Diario de Timoteo,Diary for Timonthy,,Humphrey Jenning,1945,United Kingdom,short,Historia del documental británico,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,Oíd a Inglaterra,Listen to Britain,,"Humphrey Jennings, Stewart McAllister",1942,United Kingdom,short,Historia del documental británico,,,
Cine Club del Uruguay,Uruguay,Montevideo,1952,,,,Paisà,,Roberto Rossellini,1945,Italy,feature,Evolución del cine sonoro italiano,,,
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,Los visitantes de la noche,Les visiteurs du soir,,Marcel Carné,1942,France,feature,Cine francés durante la ocupación,,,no subtitles
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,El eterno retorno,L'eternel Retour,,Jean Delannoy,1943,France,feature,Cine francés durante la ocupación,repeat,,no subtitles
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,La torre,La tour,,René Clair,1927,France,short,La vanguardia: Dos documentales franceses,,Cineteca del Cine Independiente,
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,,A propos de Nice,,Jean Vigo,1929,France,short,La vanguardia: Dos documentales franceses,,Cineteca del Cine Independiente,
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,,Colette,,Yannick Bellon,1951,France,short,Reportajes-documentos de personalidades literarias,,French embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1953,,,Con André Gide,Avec André Gide,,Marc Allegret,1952,France,short,Reportajes-documentos de personalidades literarias,,French embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,3,Vanidad,Prix de beauté,,Augusto Genina,1929,France,feature,René Clair autor de films,private screening,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,3,El último billionario,Le dernier milliardaire,,René Clair,1934,France,feature,René Clair autor de films,private screening,Cinemateca Uruguaya,"No subtitles, plot summary given"
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,7,Odio que mata,The Lodger,,John Brahm,1943,United States,feature,Realizadores de Hollywood,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,13,,The Grey Metropolis,,Norton Park Group,1952,United Kingdom,short,La escuela de Grierson y la de McLaren,,British embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,13,El colono,L'Aratis,,"Bernard Devlin, Raymond Garceau",1953,Canada,short,La escuela de Grierson y la de McLaren,,Canadian embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,13,Percusión a punta de pluma,Pen point percussion,,Norman McLaren,1946,Canada,short,La escuela de Grierson y la de McLaren,,Canadian embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,13,,Loops,,Norman McLaren,1940,Canada,short,La escuela de Grierson y la de McLaren,,Canadian embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,13,,Figures in a Landscape,,Dudley Shaw Ashton,1953,United Kingdom,short,La escuela de Grierson y la de McLaren,,British embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,14,Conciencias muertas,The Ox-Box Incident,,William Wellman,1943,United States,feature,Realizadores de Hollywood,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,19,Detrás de la fachada,Derrière la façade,,"Georges Lacombe, Yves Miranda",1939,France,feature,René Clair autor de films,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,19,María Martina,Marie-Martine,,Albert Valentin,1943,France,feature,René Clair autor de films,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,21,Hormiga León,,,Eugenio Hintz,,Uruguay,short,El cine científico en Uruguay,,ICUR,Presented by Eugenio Hintz
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,21,"Paguro, el cangrejo blindado",,,Marcos Santa Rosa,,Uruguay,short,El cine científico en Uruguay,,ICUR,Presented by Eugenio Hintz
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,21,La araña homicida,,,Marcos Santa Rosa,,Uruguay,short,El cine científico en Uruguay,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,La reina de la colmena,,,,,,short,Cine para menores de 7 años,,US embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,Mickey estrella de cine,,,Walt Disney,,United states,short,Cine para menores de 7 años,,US embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,Jekyll y el gato Hyde,,,,,,short,Cine para menores de 7 años,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,Vida submarina,,,,,,short,Cine para menores de 7 años,,US embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,Ritmo caliente,,,,,,short,Cine para menores de 7 años,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,23,Viva la audacia,,,,,United States,short,Cine para menores de 7 años,,,with Buster Keaton
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,26,La pimpinel a la escarlata,The Scarlet Pimpernel,,Harold Young,1934,United Kingdom,feature,Dos grandes actores británicos,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,26,Única vez,Oliver Twist,,David Lean,1947,United Kingdom,feature,Dos grandes actores británicos,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,28,Galería Nacional de Bellas Artes,,,,,United States,short,Cine educativo - Aspectos de la pintura en EEUU,,US embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,28,Nace un mural,Making of a Mural,,Encyclopedia Britannica Films,1947,United States,short,Cine educativo - Aspectos de la pintura en EEUU,,US embassy,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,28,Pintura abstracta,Painting an Abstraction,,Encyclopedia Britannica Films,1950,United States,short,Cine educativo - Aspectos de la pintura en EEUU,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,28,,Franklin Watkins,,E.M. Ponson ,1950,United States,short,Cine educativo - Aspectos de la pintura en EEUU,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,October,29,,Qué es la filmología? Conferencia de Rubén Oreiro Vázquez. Exhibición de las críticas filmadas de Odd Man Odd y The Overlanders - with film clips,,,,,,,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,November,4,Carta a tres esposas,A Letter to Three Wives,,Joseph Mankiewicz,1948,United States,feature,Realizadores de Hollywood,,,
Cine Club del Uruguay,Uruguay,Montevideo,1954,November,9,Una vida marcada,Cry of the City,,Robert Siodmak,1949,United States,feature,Realizadores de Hollywood,,,
Cine Universitario,Uruguay,Montevideo,1950,May,5,,Maillol,,Jean Lods,1943,France,short,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,May,5,Restos,Épaves,,Jacques Yves Costeau,1946,France,short,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,May,5,,Van Gogh,,Alain Resnais,1948,France,short,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,May,5,El acorazado Potemkin,,,Sergei Eisenstein,1925,Soviet Union,feature,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,May,31,,Melodie der Welt,,Walter Ruttman,1929,Germany,short,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,May,31,,Wilhelm Tell,,Heinz Paul,1931,Germany,feature,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,,Pasteur,,"Jean Painlevé, Georges Rouquier",1946,France,short,Festival del Cortometraje,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,,"Combourg, visage de pierre",,Jacques de Casembroot,1948,France,short,Festival del Cortometraje,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,El Evangelio de Piedra,L'evangile de la pierre,,André Bureau,1948,France,short,Festival del Cortometraje,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,La rebelión de los juguetes,,,Karel Zeman,1947,Czechoslovakia,short,Festival del Cortometraje,,Czech embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,Amanecer,,,Arne Sucksdorff,1945,Sweden,short,Festival del Cortometraje,,Swedish embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,,Ritmo de la ciudad,Människa I Stad,,Arne Sucksdorff,1947,Sweden,short,Festival del Cortometraje,,Swedish embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,June,27,,Le Puritain,,Jeff Musso,1937,France,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,June,27,,La Symphonie Fantastique,,Christian Jacque,1942,France,feature,,,Program notes from Marcha,
Cine Universitario,Uruguay,Montevideo,1950,July,21,"M, el vampiro negro","M, ein stadt sucht einen morder",,Fritz Lang,1931,Germany,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,July,21,El ángel azul,Der blaue engel,,Josef von Sternberg,1930,Germany,feature,,fragment,,Presented by Gastón Blanco Pongibove
Cine Universitario,Uruguay,Montevideo,1950,July,28,El acorazado Potemkin,,,Sergei Eisenstein,1925,Soviet Union,feature,,fragment,,Presented by Gastón Blanco Pongibove
Cine Universitario,Uruguay,Montevideo,1950,July,28,,October,,Sergei Eisenstein,1927,Soviet Union,feature,,fragment,,Presented by Gastón Blanco Pongibove
Cine Universitario,Uruguay,Montevideo,1950,July,28,,The General Line,,Sergei Eisenstein,1929,Soviet Union,feature,,fragment,,Presented by Gastón Blanco Pongibove
Cine Universitario,Uruguay,Montevideo,1950,July,28,,Que Viva Mexico,,Sergei Eisenstein,1931,Mexico,feature,,fragment,,Presented by Gastón Blanco Pongibove
Cine Universitario,Uruguay,Montevideo,1950,July,28,,Ivan the Terrible,,Sergei Eisenstein,1943,Soviet Union,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,July,28,,Alexander Nevsky,,Sergei Eisenstein,1928,Soviet Union,feature,,,,filmography from Cine-Club (FICC magazine)
Cine Universitario,Uruguay,Montevideo,1950,August,17,El Conde,The Count,,Charles Chap,1916,United States,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,La Calle de la Paz,Easy Street,,Charles Chap,1917,United States,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,El inmigrante,The Immigrant,,Charles Chap,1917,United States,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,The Adventurer,El evadido,,Charles Chaplin,1917,United States,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,,Macbeth,,Thomas Blair,1946,United States,feature,Vigo y Chaplin,fragment,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,,"Taris, roi de l'eau",,Jean Vigo,1931,France,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,17,,Zéro de conduite,,Jean Vigo,1933,France,short,Vigo y Chaplin,,,
Cine Universitario,Uruguay,Montevideo,1950,August,21,Enamorada,,,Emilio Fernández,1947,Mexico,feature,,,,Program notes from Le Revue du Cinéma
Cine Universitario,Uruguay,Montevideo,1950,August,21,,Le bateau ivre,,Alfred Chaumet,1949,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,August,21,La huída,,,José Estevez Paulós,1948,Uruguay,short,,,Production of Cine Universitario,
Cine Universitario,Uruguay,Montevideo,1950,August,21,,Western Approaches,,Pat Jackson,1944,United Kingdom,feature,,,British Embassy,
Cine Universitario,Uruguay,Montevideo,1950,August,28,Oro verde,Gront guld,,Theodro Christensen,1948,Sweden,short,,,,
Cine Universitario,Uruguay,Montevideo,1950,August,28,,Macbeth,,Thomas Blair,1946,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,September,12,,Les visiteurs du soir,,Marcel Carné,1942,France,feature,,,Discifilm Uruguay,Held in Salón de Actos del Liceo Francés
Cine Universitario,Uruguay,Montevideo,1950,October,5,,Ombres et paysages,,Jacques de Casembroot,1949,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,5,,Montmartre,,René Schwab,1950,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,5,,L'Atalante,,Jean Vigo,1934,France,feature,,Uruguay premiere,,
Cine Universitario,Uruguay,Montevideo,1950,October,17,El muerto que huye,Break the News,,René Clair,1938,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,October,17,A nosotros la libertad,A nous la liberté,,René Claire,1931,France,feature,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,22,,La passion de Jeanne d'Arc,,Carl Theodor Dreyer,1928,France,feature,,,SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,30,Turay,,,Enrico Gras,1950,Argentina,short,,,"Cufe, S.A.",Held in Salón de Actos de la Universidad de la República
Cine Universitario,Uruguay,Montevideo,1950,October,30,Paisajes del silencio,Paysages du silence,,Jacques Yves Costeau,1946,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,30,,Pacific 231,,Jean Mitry,1949,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,October,30,Imágenes medievales,Images medievales,,William Novik,1949,France,short,,,French embassy/SODRE,
Cine Universitario,Uruguay,Montevideo,1950,November,15,,L'amore,,Roberto Rossellini,1948,Italy,feature,,preview screening,,
Cine Universitario,Uruguay,Montevideo,1950,November,19,,Hamlet,,Laurence Olivier,1948,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,November,29,Aventuras del Dr. Dolittle,Dr. Dolittle und seine Tiere,,Lotte Reiniger,1928,Germany,short,,fragment,,
Cine Universitario,Uruguay,Montevideo,1950,November,29,La bella durmiente del Bosque,Dornröschen,,Lotte Reiniger,1925,Germany,short,,,,
Cine Universitario,Uruguay,Montevideo,1950,November,29,La montaña sagrada,Der heilige Berg,,Arnold Fanck,1926,Germany,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,November,29,La luz azul,Das blaue Licht,,Leni Riefenstahl,1932,Germany,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,December,10,El Caballero de Florencia,Condottieri,,Luis Trenker,1937,Italy,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,December,15,,Estudos,,"Thomaz Farkas, Luis Andreatini",1950,Brazil,short,,,Foto Cine Club Bandeirante,
Cine Universitario,Uruguay,Montevideo,1950,December,15,Un silbato en la noche,Blue Bottles,,Ivor Montagu,1928,United Kingdom,short,,fragment,,
Cine Universitario,Uruguay,Montevideo,1950,December,15,Chantaje,Blackmail,,Alfred Hitchcock,1928,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,December,15,Espías,Spione,,Fritz Lang,1928,Germany,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,December,19,Al morir la noche,Dead of Night,,"Alberto Cavalcanti, Charles Crichton, Robert Hamer, Basil Dearden",1945,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1950,December,19,Truhan con suerte,The Rake's Progress/Notorius Gentleman,,Sidney Gilliat,1945,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,March,16,Romeo y Juliet,Romeo and Juliet,,George Cukor,1936,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,March,23,El ídolo caído,The Fallen Idol,,Carol Reed,1948,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,March,28,,Piazza San Marco,,Francesco Pasinetti,1947,Italy,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,March,28,,Il Palazzo dei Dogi,,Francesco Pasinetti,1947,Italy,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,March,28,,Ossessione,,Luchino Visconti,1943,Italy,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,20,La Ciudad que nunca duerme,Reaching for the Sun,,William Wellman,1940,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,25,,L'Affaire Manet,,Jean Aurel,1950,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,25,,Toulouse-Lautrec,,Robert Hessens,1950,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,25,,Gaugin,,Alain Resnais,1950,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,27,El Ciudadano,Citizen Kane,,Orson Welles,1941,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,April,30,,Results of amateur film competition,,,1952,Uruguay,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,May,11,El Ciudadano,Citizen Kane,,Orson Welles,1941,United States,feature,,repeat,,
Cine Universitario,Uruguay,Montevideo,1952,May,16,,Stars and Stripes,,Norman McLaren,1950,Canada,,,,,
Cine Universitario,Uruguay,Montevideo,1952,May,17,,"León Klimovsky lecture - ""A la búsqueda de un lenguaje cinematográfica""",,,,,,,,,
Cine Universitario,Uruguay,Montevideo,1952,May,25,La madre de Dios,Gottesmutter,,Alfred Ehrhardt,1949,Germany,short,,preview screening,,
Cine Universitario,Uruguay,Montevideo,1952,May,25,Robert Adolf Stemmle,Berliner Balade,,,1949,Germany,feature,,,Compañía Central Cinematográfica,
Cine Universitario,Uruguay,Montevideo,1952,May,30,,Coeur fidèle,,Jean Epstein,1923,France,feature,Obras de Jean Epstein,fragment,,
Cine Universitario,Uruguay,Montevideo,1952,May,30,,La glace a trois faces,,Jean Epstein,1928,France,short,Obras de Jean Epstein,fragment,,
Cine Universitario,Uruguay,Montevideo,1952,May,30,,La chute de la Maison Usher,,Jean Epstein,1928,France,feature,Obras de Jean Epstein,,,
Cine Universitario,Uruguay,Montevideo,1952,June,7,,Canadian Shorts,,Norman McLaren,,,,,,"Canadian embassy, Buenos Aires",
Cine Universitario,Uruguay,Montevideo,1952,June,8,Vivirás tu vida,The Men,,Fred Zinnemman,1950,United States,feature,,,Glucksmann-Cinesa,
Cine Universitario,Uruguay,Montevideo,1952,June,15,Un paseo en el sol,A Walk in the Sun,,Lewis Milestone,1945,United States,feature,,,Censa/20th Century Fox,
Cine Universitario,Uruguay,Montevideo,1952,June,22,Dicha para todos,Whisky Galore,,Alexander McKendrick,1950,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,June,29,Vanidad,Prix de beauté,,Augusto Genina,1929,France,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,12,,Instruments of the orchestra,,,1947,England,,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,12,,Power and the Land,,Joris Ivens,1940,United States,,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,13,Ultimatum/Londres en peligro,Seven Days to Noon,,"John Boulting, Ray Boultin",1949,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,18,Viaje a la isla,Inselfahrt,,Alfred Ehrhardt,1942,Germany,,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,18,Sinfonía de una vida,Symphonie eines leben,,Hans Bertram,1942,Germany,,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,25,,La fête espagnole,,Germaine Dulac,1919,France,short,,,Cinemateca Argentina,
Cine Universitario,Uruguay,Montevideo,1952,July,25,,La coquille et le clergyman,,Germaine Dulac,1926,France,short,,,Cinemateca Argentina,
Cine Universitario,Uruguay,Montevideo,1952,July,25,,Thèmes et variations,,Germaine Dulac,1929,France,short,,,Cinemateca Argentina,
Cine Universitario,Uruguay,Montevideo,1952,July,25,,La souriante Madame Beudet,,Germaine Dulac,1922,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,27,,La marseillaise,,Jean Renoir,1937,France,,,,,
Cine Universitario,Uruguay,Montevideo,1952,July,27,El sádico,Hets,,Alf Sjöberg,1944,Sweden,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,9,,Indian documentary film,,,,India,,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,10,También somos seres humanos,The Story of G.I. Joe,,William Wellman,1945,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,15,,A la conquête du pole,,Georges Melies,1912,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,15,,Dr. Jekyll and Mr. Hyde,,Louis Mayer,1920,United States,feature,,,Cine Universitario collection,
Cine Universitario,Uruguay,Montevideo,1952,August,17,Cita con la muerte,Les jeux sont faits,,Jean Delannoy,1946,France,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,17,,Rashomon,,Akira Kurosawa,1950,Japan,feature,,preview screening,,
Cine Universitario,Uruguay,Montevideo,1952,August,24,Eterna ilusión ,Rendezvous de Juillet,,Jacques Becker,1949,France,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,29,,La femme de nullepart,,Louis Delluc,1922,France,short,Realizaciones de Louis Delluc,,Cinemateca Argentina,
Cine Universitario,Uruguay,Montevideo,1952,August,29,,L'inundation,,Louis Delluc,1922,France,short,Realizaciones de Louis Delluc,,Cinemateca Argentina,
Cine Universitario,Uruguay,Montevideo,1952,August,31,Zapatillas rojas,The Red Shoes,,"Michael Powell, Emeric Pressburger",1948,United Kingdom,feature,,fragment,,
Cine Universitario,Uruguay,Montevideo,1952,August,31,El espectro de la rosa,Spectre of the Rose,,Ben Hecht,1948,United States,,,,,
Cine Universitario,Uruguay,Montevideo,1952,August,31,Pasión prohibida,Cronaca di un amore,,Michelangelo Antonioni,1950,Italy,feature,,preview screening,,
Cine Universitario,Uruguay,Montevideo,1952,September,10,Recuerdos perdidos,Souvenirs perdus,,Christian Jacque,1950,France,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,14,El diablillo y la reina,The Mudlark,,Jean Negulesco,1950,United Kingdom,feature,,fragment,,
Cine Universitario,Uruguay,Montevideo,1952,September,14,Suerte Loca,A Run for Your Money,,Charles Frend,1949,United Kingdom,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,17,,Films made by Instituto Cinematográfico de la Universidad,,,,,,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,19,,Alexander Calder,,Irving Hartley,1948,United States,short,Cine experimental en EE.UU.,,,
Cine Universitario,Uruguay,Montevideo,1952,September,19,,Light Reflections,,George Dunyon,1949,United States,short,Cine experimental en EE.UU.,,,
Cine Universitario,Uruguay,Montevideo,1952,September,19,,Moor's Pavane,,Walter V. Strate,1950,United States,short,Cine experimental en EE.UU.,,,
Cine Universitario,Uruguay,Montevideo,1952,September,19,,Loony Tom,,James Broughton,1948,United States,short,Cine experimental en EE.UU.,,Cine Universitario collection,
Cine Universitario,Uruguay,Montevideo,1952,September,19,,Mother's Day,,James Broughton,1948,United States,short,Cine experimental en EE.UU.,,Cine Universitario collection,
Cine Universitario,Uruguay,Montevideo,1952,September,21,Los olvidados,,,Luis Buñuel,1950,Mexico,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,24,,Amore,,Roberto Rossellini,1950,France,feature,,fragment - La voce umana,,
Cine Universitario,Uruguay,Montevideo,1952,September,24,,Queen Christina,,Rouben Mamoulian,1934,United States,feature,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,26,,"""Programa de cómicos primitivos, incluyendo obras de Harold Lloyd, Buster Keaton, Charles Chaplin""",,,,,,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,26,Max y la quinquina,,,Max Linder,1912,France,short,,,,
Cine Universitario,Uruguay,Montevideo,1952,September,28,El expreso de Manchuria,,,Ilya Trauberg,1929,Soviet Union,feature,,,,
